advertiser_id, site_id, date      , campaign_id, campaign_name          , acos  , advertising_items_quantity, clicks, cost  , cpc , cvr  , direct_amount, direct_items_quantity, direct_units_quantity, indirect_amount, indirect_items_quantity, indirect_units_quantity, organic_items_quantity, organic_units_amount, organic_units_quantity, prints, roas , sov   , total_amount, units_quantity
       731958, MLB    , 2025-08-16,   353235970, VNZK01_PRODUCT-ADS_PERF,  12.39,                          2,     85, 123.13, 1.45,  2.35,          0.0 ,                     0,                     0,          994.0 ,                       2,                       2,                      1,                148.0,                      1,  47096,  8.07,  66.67,       994.0 ,              2
       731958, MLB    , 2025-08-17,   353235970, VNZK01_PRODUCT-ADS_PERF,  20.63,                          2,    145, 205.07, 1.41,  1.38,        297.0 ,                     1,                     1,          697.0 ,                       1,                       1,                      2,                593.0,                      3,  52071,  4.85,  50.0 ,       994.0 ,              2
       731958, MLB    , 2025-08-18,   353235970, VNZK01_PRODUCT-ADS_PERF,  10.44,                          7,    329, 348.81, 1.06,  2.43,       1938.0 ,                     3,                     4,         1401.8 ,                       4,                       4,                      1,                197.0,                      1,  70446,  9.57,  87.5 ,      3339.8 ,              8
       731958, MLB    , 2025-08-19,   353235970, VNZK01_PRODUCT-ADS_PERF,  21.7 ,                          4,    257, 380.27, 1.48,  2.33,       1475.0 ,                     3,                     5,          277.0 ,                       1,                       1,                      2,                894.0,                      2,  98051,  4.61,  66.67,      1752.0 ,              6
       731958, MLB    , 2025-08-20,   353235970, VNZK01_PRODUCT-ADS_PERF,  15.29,                          5,    167, 280.48, 1.68,  2.99,        891.0 ,                     3,                     3,          944.0 ,                       2,                       2,                      1,                197.0,                      1,  72197,  6.54,  83.33,      1835.0 ,              5
       731958, MLB    , 2025-08-21,   353235970, VNZK01_PRODUCT-ADS_PERF,  20.02,                          3,    118, 218.43, 1.85,  2.54,          0.0 ,                     0,                     0,         1091.0 ,                       3,                       3,                      1,                499.0,                      1,  28970,  4.99,  75.0 ,      1091.0 ,              3
       731958, MLB    , 2025-08-22,   353235970, VNZK01_PRODUCT-ADS_PERF,  18.1 ,                          2,    117, 252.36, 2.16,  1.71,        697.0 ,                     1,                     1,          697.0 ,                       1,                       1,                      1,                297.0,                      1,  27214,  5.52,  66.67,      1394.0 ,              2
       731958, MLB    , 2025-08-23,   353235970, VNZK01_PRODUCT-ADS_PERF, 125.41,                          1,    129, 247.06, 1.92,  0.78,          0.0 ,                     0,                     0,          197.0 ,                       1,                       1,                      3,                542.0,                      3,  29641,  0.8 ,  25.0 ,       197.0 ,              1
       731958, MLB    , 2025-08-24,   353235970, VNZK01_PRODUCT-ADS_PERF,  58.46,                          3,    317, 433.0 , 1.37,  1.26,        740.7 ,                     3,                     4,            0.0 ,                       0,                       0,                      3,               1191.0,                      3,  37847,  1.71,  50.0 ,       740.7 ,              4
       731958, MLB    , 2025-08-25,   353235970, VNZK01_PRODUCT-ADS_PERF,  66.75,                          2,    194, 263.0 , 1.36,  1.03,        197.0 ,                     1,                     1,          197.0 ,                       1,                       1,                      3,               3382.0,                      6,  35156,  1.5 ,  40.0 ,       394.0 ,              2
       731958, MLB    , 2025-08-26,   353235970, VNZK01_PRODUCT-ADS_PERF,  22.14,                          4,    153, 263.0 , 1.72,  2.61,        891.0 ,                     3,                     3,          297.0 ,                       1,                       1,                      3,                750.0,                      4,  32241,  4.52,  57.14,      1188.0 ,              4
       731958, MLB    , 2025-08-27,   353235970, VNZK01_PRODUCT-ADS_PERF,  12.03,                          5,    173, 263.0 , 1.52,  2.89,       1490.0 ,                     4,                     4,          697.0 ,                       1,                       1,                      0,                  0.0,                      0,  29784,  8.32, 100.0 ,      2187.0 ,              5
       731958, MLB    , 2025-08-28,   353235970, VNZK01_PRODUCT-ADS_PERF,  83.66,                          1,    162, 248.46, 1.53,  0.62,        297.0 ,                     1,                     1,            0.0 ,                       0,                       0,                      1,                697.0,                      1,  27615,  1.2 ,  50.0 ,       297.0 ,              1
       731958, MLB    , 2025-08-29,   353235970, VNZK01_PRODUCT-ADS_PERF,  10.43,                          2,     70, 103.64, 1.48,  2.86,        994.0 ,                     2,                     2,            0.0 ,                       0,                       0,                      1,                148.0,                      1,  21416,  9.59,  66.67,       994.0 ,              2
       731958, MLB    , 2025-08-30,   353235970, VNZK01_PRODUCT-ADS_PERF,  58.74,                          1,     75, 115.71, 1.54,  1.33,          0.0 ,                     0,                     0,          197.0 ,                       1,                       1,                      0,                  0.0,                      0,  18429,  1.7 , 100.0 ,       197.0 ,              1
       731958, MLB    , 2025-08-31,   353235970, VNZK01_PRODUCT-ADS_PERF,  13.35,                          2,     53,  79.11, 1.49,  5.66,        592.8 ,                     2,                     3,            0.0 ,                       0,                       0,                      2,                994.0,                      2,  18242,  7.49,  50.0 ,       592.8 ,              3
       731958, MLB    , 2025-09-01,   353235970, VNZK01_PRODUCT-ADS_PERF,   3.15,                          4,     49,  56.11, 1.15,  8.16,        691.0 ,                     3,                     3,         1090.0 ,                       1,                       1,                      3,               1073.0,                      3,  25451, 31.74,  57.14,      1781.0 ,              4
       731958, MLB    , 2025-09-02,   353235970, VNZK01_PRODUCT-ADS_PERF,   6.68,                          6,    161, 215.96, 1.34,  3.73,       1888.0 ,                     4,                     4,         1344.0 ,                       2,                       2,                      5,               2442.0,                      6,  33432, 14.97,  54.55,      3232.0 ,              6
       731958, MLB    , 2025-09-03,   353235970, VNZK01_PRODUCT-ADS_PERF,   9.04,                         10,    215, 425.46, 1.98,  5.58,       1972.0 ,                     5,                     6,         2733.65,                       5,                       6,                      4,               1952.0,                      5,  33188, 11.06,  71.43,      4705.65,             12
       731958, MLB    , 2025-09-04,   353235970, VNZK01_PRODUCT-ADS_PERF, 267.01,                          1,    295, 526.0 , 1.78,  0.34,          0.0 ,                     0,                     0,          197.0 ,                       1,                       1,                      4,               1230.0,                      8,  70759,  0.37,  20.0 ,       197.0 ,              1
       731958, MLB    , 2025-09-05,   353235970, VNZK01_PRODUCT-ADS_PERF,  11.24,                          7,    125, 274.52, 2.2 ,  5.6 ,       1201.7 ,                     4,                     4,         1240.05,                       3,                       3,                      3,               1765.0,                      3,  90467,  8.89,  70.0 ,      2441.75,              7
       731958, MLB    , 2025-09-06,   353235970, VNZK01_PRODUCT-ADS_PERF,  28.04,                          3,    227, 386.48, 1.7 ,  1.32,       1081.35,                     2,                     2,          297.0 ,                       1,                       1,                      0,                  0.0,                      0,  54205,  3.57, 100.0 ,      1378.35,              3
       731958, MLB    , 2025-09-07,   353235970, VNZK01_PRODUCT-ADS_PERF,  13.47,                          3,    166, 316.9 , 1.91,  1.81,        784.35,                     1,                     1,         1568.7 ,                       2,                       2,                      2,               1011.0,                      2,  31586,  7.43,  60.0 ,      2353.05,              3
       731958, MLB    , 2025-09-08,   353235970, VNZK01_PRODUCT-ADS_PERF,   9.76,                          4,    109, 258.33, 2.37,  3.67,       1292.55,                     3,                     3,         1354.5 ,                       1,                       1,                      8,               4281.0,                     10,  44461, 10.25,  33.33,      2647.05,              4
       731958, MLB    , 2025-09-09,   353235970, VNZK01_PRODUCT-ADS_PERF,  17.5 ,                          3,    141, 326.0 , 2.31,  2.13,        508.2 ,                     2,                     2,         1354.5 ,                       1,                       1,                      5,               1017.0,                      5,  49445,  5.71,  37.5 ,      1862.7 ,              3
       731958, MLB    , 2025-09-10,   353235970, VNZK01_PRODUCT-ADS_PERF,  11.39,                          9,    240, 485.0 , 2.02,  4.58,       2621.36,                     6,                     8,         1637.2 ,                       3,                       3,                      0,                  0.0,                      0,  40408,  8.78, 100.0 ,      4258.56,             11
       731958, MLB    , 2025-09-11,   353235970, VNZK01_PRODUCT-ADS_PERF,  12.2 ,                          5,    173, 326.0 , 1.88,  4.05,       2672.05,                     5,                     7,            0.0 ,                       0,                       0,                      3,               1832.0,                      5,  35430,  8.2 ,  62.5 ,      2672.05,              7
       731958, MLB    , 2025-09-12,   353235970, VNZK01_PRODUCT-ADS_PERF,  12.64,                          3,    102, 326.0 , 3.2 ,  3.92,       1795.7 ,                     2,                     3,          784.35,                       1,                       1,                      2,                394.0,                      2,  35930,  7.91,  60.0 ,      2580.05,              4
       731958, MLB    , 2025-09-13,   353235970, VNZK01_PRODUCT-ADS_PERF,  59.18,                          2,    152, 326.0 , 2.14,  1.32,        550.85,                     2,                     2,            0.0 ,                       0,                       0,                      3,                705.0,                      3,  35803,  1.69,  40.0 ,       550.85,              2
       731958, MLB    , 2025-09-14,   353235970, VNZK01_PRODUCT-ADS_PERF,  59.45,                          2,    133, 326.0 , 2.45,  2.26,        154.35,                     1,                     1,          394.0 ,                       1,                       2,                      6,               1959.0,                      6,  33481,  1.68,  25.0 ,       548.35,              3
       731958, MLB    , 2025-09-15,   353235970, VNZK01_PRODUCT-ADS_PERF,  53.76,                          3,    103, 326.0 , 3.17,  2.91,        606.35,                     3,                     3,            0.0 ,                       0,                       0,                      5,               3109.0,                      5,  27334,  1.86,  37.5 ,       606.35,              3
       731958, MLB    , 2025-09-16,   353235970, VNZK01_PRODUCT-ADS_PERF,  46.15,                          2,     98, 326.0 , 3.33,  3.06,        706.35,                     2,                     3,            0.0 ,                       0,                       0,                      2,               1138.0,                      2,  44405,  2.17,  50.0 ,       706.35,              3
       731958, MLB    , 2025-09-17,   353235970, VNZK01_PRODUCT-ADS_PERF,   9.41,                          5,    167, 326.0 , 1.95,  3.59,       3462.75,                     5,                     6,            0.0 ,                       0,                       0,                      5,               2460.0,                      6,  73109, 10.62,  50.0 ,      3462.75,              6
