advertiser_id,site_id,campaign_id,campaign_name,status, acos_target, acos_top_search_target, automatic_budget, budget, campaign_id, campaign_name, channel    , date_created            , id       , last_updated            , name                   , salesforce_event_id, site_id, status, strategy,acos_target,acos_top_search_target,automatic_budget,budget,channel,date_created,id,last_updated,name,salesforce_event_id,strategy
       731958,,,,,        20.0,                    0.0, False           ,  650.0,            ,              , marketplace, 2025-06-30T17:30:03.000Z, 353235970, 2025-10-23T06:28:56.000Z, VNZK01_PRODUCT-ADS_PERF,                  14, MLB    , active, PROFITABILITY,,,,,,,,,,,
731958,MLB,,,active,,,,,,,,,,,,,,,,12.5,0.0,False,650.0,marketplace,2025-06-30T17:30:03.000Z,353235970,2025-11-03T10:00:35.000Z,VNZK01_PRODUCT-ADS_PERF,14,PROFITABILITY
731958,MLB,,,active,,,,,,,,,,,,,,,,12.5,0.0,False,650.0,marketplace,2025-06-30T17:30:03.000Z,353235970,2025-11-03T10:00:35.000Z,VNZK01_PRODUCT-ADS_PERF,14,PROFITABILITY
731958,MLB,,,active,,,,,,,,,,,,,,,,12.5,0.0,False,650.0,marketplace,2025-06-30T17:30:03.000Z,353235970,2025-11-03T10:00:35.000Z,VNZK01_PRODUCT-ADS_PERF,14,PROFITABILITY
