item_id      , campaign_id, ad_group_id, price  , price_usd, title                                                                              , status, has_discount, catalog_listing, logistic_type, listing_type_id, domain_id                   , date_created        , buy_box_winner, tags_0, channel    , official_store_id, advertiser_id, original_advertiser_id, brand_value_id, brand_value_name, condition, current_level, deferred_stock, thumbnail                                                     , permalink                                                                                                                                 , recommended, image_quality         , status_raw, family_id       , family_name                                                       , user_product_id, user_product_name                                                     , _key         , _key_type
MLB5452699160,   353235970,   993561164,  499.0 ,       0.0, Garrafa Água Ionizante Pure Health Hidrogênio Molecular Transparente               , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SPORT_AND_BAZAAR_BOTTLES, 2025-06-23T18:26:05Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_728614-MLB92898205869_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-5452699160-garrafa-agua-ionizante-pure-health-hidrognio-molecular-transparente-_JM                , False      , good_quality_thumbnail, Y         , 1349403887703450, Garrafa Água Ionizante Pure Health Hidrogênio Molecular           , MLBU3250812205 , Garrafa Água Ionizante Pure Health Hidrogênio Molecular Transparente  , MLB5452699160, item_id
MLB5452496492,   353235970,  1290552149, 1459.5 ,       0.0, Kit Premium Chuveiro Select Chrome Com Ducha Auxiliar Prateado Cromado             , active, False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-23T15:07:13Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_860604-MLB92485654426_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-5452496492-kit-premium-chuveiro-select-chrome-com-ducha-auxiliar-prateado-cromado-_JM             , False      , good_quality_thumbnail, A         , 1151236185032198, Kit Premium Chuveiro Select Chrome Com Ducha Auxiliar             , MLBU3256168724 , Kit Premium Chuveiro Select Chrome Com Ducha Auxiliar Prateado Cromado, MLB5452496492, item_id
MLB5428350132,   353235970,   969895692,  297.0 ,       0.0, Ducha New Pure Shower                                                              , active, False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-11T13:14:05Z, False         , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_820638-MLB88804756912_082025-I.jpg, https://produto.mercadolivre.com.br/MLB-5428350132-ducha-new-pure-shower-_JM                                                              , True       , good_quality_thumbnail, A         ,                 ,                                                                   ,                ,                                                                       , MLB5428350132, item_id
MLB5427982758,   353235970,   969895678,  197.0 ,       0.0, Ducha Pure Shower Standard Cromado Polido                                          , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-06-11T13:02:18Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_829870-MLB92494589206_092025-I.jpg, https://produto.mercadolivre.com.br/MLB-5427982758-ducha-pure-shower-standard-cromado-polido-_JM                                          , False      , good_quality_thumbnail, Y         , 5192972587356949, Ducha Pure Shower Standard                                        , MLBU3229367315 , Ducha Pure Shower Standard Cromado Polido                             , MLB5427982758, item_id
MLB4208292445,   353235970,   969895673,  101.85,       0.0, Duchas Pure Shower Esferas Minerais Refil De Esferas Minerais Cor Dourado-escuro   , active, False       , True           , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-09-16T18:51:07Z, True          ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_841276-MLA91233964261_082025-I.jpg, https://produto.mercadolivre.com.br/MLB-4208292445-duchas-pure-shower-esferas-minerais-refil-de-esferas-minerais-cor-dourado-escuro-_JM   , False      , unknown               , A         , 5982965380534795, Refil De Esferas Minerais Para Ducha New Pure Shower              , MLBU3358730029 , Refil De Esferas Minerais Para Ducha New Pure Shower Dourado-escuro   , MLB4208292445, item_id
MLB4152670351,   353235970,  1122817356,  297.0 ,       0.0, Ducha New Pure Shower Lavatório Profissional De Salão Dourado                      , hold  , False       , False          , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-08-07T17:27:57Z, False         , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_706540-MLB89664503437_082025-I.jpg, https://produto.mercadolivre.com.br/MLB-4152670351-ducha-new-pure-shower-lavatorio-profissional-de-salo-dourado-_JM                       , True       , good_quality_thumbnail, S         , 1786636339424286, Ducha New Pure Shower Lavatório Profissional De Salão             , MLBU3351059054 , Ducha New Pure Shower Lavatório Profissional De Salão Dourado         , MLB4152670351, item_id
MLB4152589777,   353235970,   994512243,  353.85,       0.0, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Prateado                 , hold  , False       , True           , xd_drop_off  , gold_pro       , MLB-SHOWER_HEADS            , 2025-08-07T17:05:51Z, True          , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , newbie       , False         , http://http2.mlstatic.com/D_674003-MLA87800236672_072025-I.jpg, https://produto.mercadolivre.com.br/MLB-4152589777-pure-filter-filtro-4-estagios-com-esferas-pure-shower-cor-prateado-_JM                 , True       , unknown               , S         , 4252709192511586, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Prateado, MLBU3351010092 , Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Prateado    , MLB4152589777, item_id
MLB4152526873,   353235970,   994512243,  297.0 ,       0.0, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Preto                    , hold  , False       , True           , drop_off     , gold_pro       , MLB-SHOWER_HEADS            , 2025-08-07T17:08:55Z, False         ,       , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , unknown      , False         , http://http2.mlstatic.com/D_813817-MLA87479733220_072025-I.jpg, https://produto.mercadolivre.com.br/MLB-4152526873-pure-filter-filtro-4-estagios-com-esferas-pure-shower-cor-preto-_JM                    , False      , unknown               , S         , 4238683782387271, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Preto   , MLBU3345005891 , Pure Filter Filtro 4 Estágios Com Esferas Pure Shower Cor Preto       , MLB4152526873, item_id
MLB4152354993,   353235970,  1122528293,  353.85,       0.0, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower                              , active, False       , True           , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-08-07T15:32:05Z, True          , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_728093-MLA95359251501_102025-I.jpg, https://produto.mercadolivre.com.br/MLB-4152354993-pure-filter-filtro-4-estagios-com-esferas-pure-shower-_JM                              , True       , unknown               , A         , 1249939045047150, Pure Filter Filtro 4 Estágios Com Esferas Pure Shower             , MLBU3350787014 , Pure Filter Filtro 4 Estágios Com Esferas Pure Shower                 , MLB4152354993, item_id
MLB4146565283,   353235970,  1101253892, 1354.5 ,       0.0, Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux Cor Prateado            , active, False       , True           , fulfillment  , gold_pro       , MLB-SHOWER_HEADS            , 2025-08-04T02:45:57Z, True          , sll   , marketplace,            185624,        731958,                 731958,       13510552, Pure Shower     , new      , green        , False         , http://http2.mlstatic.com/D_665068-MLA95379771665_102025-I.jpg, https://produto.mercadolivre.com.br/MLB-4146565283-ducha-chuveiro-parade-kit-premium-pure-shower-c-ducha-aux-cor-prateado-_JM             , True       , unknown               , A         ,  967483569980375, Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux        , MLBU3290932853 , Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux Prateado   , MLB4146565283, item_id
